#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Description
1,Bulbasaur,Planta,Veneno,318,45,49,49,65,65,45,1,"Una rara semilla le fue plantada en el lomo al nacer.
La planta brota y crece con este Pokémon."
2,Ivysaur,Planta,Veneno,405,60,62,63,80,80,60,1,"Este Pokémon tiene un bulbo en el lomo. Dicen que,
al absorber nutrientes, el bulbo se transforma en una
flor grande."
3,Venusaur,Planta,Veneno,525,80,82,83,100,100,80,1,"Llena su cuerpo de energía con los rayos solares que
captan los anchos pétalos de su flor."
4,Charmander,Fuego,,309,39,52,43,60,50,65,1,"La llama de su cola indica la fuerza vital de
Charmander. Será brillante si está sano."
5,Charmeleon,Fuego,,405,58,64,58,80,65,80,1,"Suele usar la cola para derribar a su rival. Cuando lo
tira, se vale de sus afiladas garras para acabar con él."
6,Charizard,Fuego,Volador,534,78,84,78,109,85,100,1,"Cuando lanza una descarga de fuego supercaliente, la
roja llama de su cola brilla más intensamente."
7,Squirtle,Agua,,314,44,48,65,50,64,43,1,"Se protege con su caparazón y luego contraataca
lanzando agua a presión cuando tiene oportunidad."
8,Wartortle,Agua,,405,59,63,80,65,80,58,1,"Si es golpeado, esconderá su cabeza. Aun así, su cola
puede seguir golpeando."
9,Blastoise,Agua,,530,79,83,100,85,105,78,1,"Para acabar con su enemigo, lo aplasta con el peso de
su cuerpo. En momentos de apuro, se esconde en el
caparazón."
10,Caterpie,Bicho,,195,45,30,35,20,20,45,1,"Para protegerse despide un hedor horrible de sus
antenas, con el que repele a sus enemigos."
11,Metapod,Bicho,,205,50,20,55,25,25,30,1,"Su frágil cuerpo está recubierto de una coraza dura
como el acero. Permanece quieto en su desarrollo."
12,Butterfree,Bicho,Volador,395,60,45,50,90,80,70,1,"Adora el néctar de las flores. Puede localizar hasta las
más pequeñas cantidades de polen."
13,Weedle,Bicho,Veneno,195,40,35,30,20,20,50,1,"Suele habitar bosques y praderas. Tiene un afilado y
venenoso aguijón de unos 5 cm encima de la cabeza."
14,Kakuna,Bicho,Veneno,205,45,25,50,25,25,35,1,"Casi incapaz de moverse, este Pokémon solo puede
endurecer su caparazón para protegerse."
15,Beedrill,Bicho,Veneno,395,65,90,40,45,80,75,1,"Tiene 3 aguijones venenosos en sus patas y cola.
Suelen pinchar a sus enemigos repetidas veces."
